no,name,apt_id,lon,lat,dist,url
5067,새순유치원,1165010131,126.9884834,37.48864117,954.9850226,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5068,반포초등학교병설유치원,1165010131,126.9910093,37.50314591,670.07614,
5070,하랑유치원,1165010124,126.9790064,37.48832935,959.1602556,
5071,새순유치원,1165010124,126.9884834,37.48864117,289.9915671,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5073,새순유치원,1165010136,126.9884834,37.48864117,721.0596249,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5074,반포초등학교병설유치원,1165010136,126.9910093,37.50314591,917.8540691,
5075,반포초등학교병설유치원,1165010110,126.9910093,37.50314591,661.3689946,
5078,하랑유치원,1165010133,126.9790064,37.48832935,955.1116007,
5079,새순유치원,1165010133,126.9884834,37.48864117,562.9580662,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5080,새순유치원,1165010128,126.9884834,37.48864117,734.4253766,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5081,반포초등학교병설유치원,1165010128,126.9910093,37.50314591,933.5968469,
5082,새순유치원,1165010129,126.9884834,37.48864117,874.161545,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5083,반포초등학교병설유치원,1165010129,126.9910093,37.50314591,805.6239213,
5084,새순유치원,1165010130,126.9884834,37.48864117,983.6507497,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5085,반포초등학교병설유치원,1165010130,126.9910093,37.50314591,732.5554606,
5086,반포초등학교병설유치원,1165010708,126.9910093,37.50314591,546.0579466,
5087,반포초등학교병설유치원,1165010120,126.9910093,37.50314591,810.0791352,
5088,하랑유치원,1165010119,126.9790064,37.48832935,629.6824378,
5089,새순유치원,1165010119,126.9884834,37.48864117,459.9942456,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5090,새순유치원,1165010105,126.9884834,37.48864117,965.6223496,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5091,반포초등학교병설유치원,1165010105,126.9910093,37.50314591,903.6312198,
5092,하랑유치원,1165010109,126.9790064,37.48832935,541.1894031,
5093,새순유치원,1165010109,126.9884834,37.48864117,467.5147452,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100000813
5094,동그라미유치원,1165010109,126.9793694,37.48165188,653.6465417,http://e-childschoolinfo.mest.go.kr/presch/preschSumry.do?pPresch=B100001624
5095,하랑유치원,1165010115,126.9790064,37.48832935,704.5115892,
