no,apt_id,way_no,dist,x,y
5780,1165010846,99,1432.953569,127.0162057,37.47929553
5781,1165010609,106,437.2692437,127.013566,37.52354499
5782,1165010609,131,1142.11948,127.0103974,37.52987856
5783,1165010609,123,1393.506572,127.0136006,37.53384801
5784,1165010841,68,282.4894837,127.0162506,37.48472578
5785,1165010841,99,828.7114775,127.0162057,37.47929553
5786,1165010841,45,1328.00411,127.009918,37.49871926
5787,1165010817,68,1341.365418,127.0200017,37.48164634
5788,1165010817,99,1609.889258,127.0238553,37.4760604
5789,1165010817,10,1707.265641,127.0456139,37.48609945
5790,1165010616,106,602.9125782,127.0098557,37.52025444
5791,1165010616,131,1438.542614,127.0054857,37.52732373
5792,1165010616,45,1486.326736,127.0064332,37.50295204
5793,1165010620,106,707.7410128,127.0096012,37.52003667
5794,1165010620,45,1421.83279,127.0064332,37.50295204
5795,1165010620,131,1531.719777,127.0017646,37.52344763
5796,1165010807,68,1409.401776,127.0162506,37.48472578
5797,1165010807,45,1656.791856,127.009918,37.49871926
5798,1165010807,99,1818.195041,127.0172426,37.47904369
5799,1165010309,128,449.2442633,127.0268684,37.45928047
5800,1165010309,99,1223.932981,127.0312074,37.47106771
5801,1165010309,68,1457.483351,127.0150051,37.4737207
5802,1165010618,106,312.2645662,127.0075162,37.51815231
5803,1165010618,131,1093.648356,127.0011722,37.52263556
5804,1165010618,45,1351.066465,127.0063244,37.50300578
5805,1165010850,45,764.0749542,127.009918,37.49871926
5806,1165010850,119,1524.832803,127.0023835,37.50211998
5807,1165010850,68,1561.978191,127.0162506,37.48472578
5808,1165010805,45,1469.006177,127.009918,37.49871926
5809,1165010805,68,1585.413369,127.0162506,37.48472578
5810,1165010805,99,2059.116375,127.0172426,37.47904369
5811,1165010815,68,1434.280911,127.0200017,37.48164634
5812,1165010815,10,1661.250627,127.0456139,37.48609945
5813,1165010815,99,1693.065142,127.0238553,37.4760604
5814,1165011105,129,413.4045252,127.0548141,37.45334287
5815,1165011105,99,1007.273686,127.0493783,37.46183768
5816,1165011105,10,1222.830855,127.0565199,37.46833307
5817,1165010843,68,914.0572726,127.0162506,37.48472578
5818,1165010843,45,1115.887445,127.009918,37.49871926
5819,1165010843,99,1440.057087,127.0163215,37.47928
5820,1165010701,119,404.4083663,126.9971908,37.49999726
5821,1165010701,106,528.5816634,126.9943052,37.50876422
5822,1165010701,45,711.6636387,127.0027237,37.50236857
5823,1165010819,68,989.6115931,127.0200017,37.48164634
5824,1165010819,99,1175.68536,127.0238553,37.4760604
5825,1165010819,128,1492.77801,127.0339949,37.47315761
5826,1165010135,45,253.4471372,126.9976384,37.48347096
5827,1165010135,99,1245.206149,127.0033838,37.47404491
5828,1165010135,68,1291.751755,127.0047101,37.47472795
5829,1165010642,106,431.1996258,127.0032203,37.51402175
5830,1165010642,45,729.1329867,127.0063244,37.50300578
5831,1165010642,119,838.8274926,127.0023835,37.50211998
5832,1165010119,119,221.8330896,126.9858919,37.49934519
5833,1165010119,86,279.8220811,126.9824778,37.49574496
5834,1165010119,21,283.8821924,126.9825548,37.49561563
5835,1165010126,119,512.8165147,126.9929349,37.4992507
5836,1165010126,45,630.775774,126.9976278,37.49325324
5837,1165010126,21,911.2818692,126.9825548,37.49561563
5838,1165010812,68,1083.340305,127.0200017,37.48164634
5839,1165010812,99,1424.079405,127.021457,37.47717744
5840,1165010812,45,1828.566498,127.009918,37.49871926
5841,1165010825,68,337.0752761,127.019828,37.48166103
5842,1165010825,99,666.567269,127.0172426,37.47904369
5843,1165010825,45,1728.126706,127.009918,37.49871926
5844,1165010816,68,1361.873355,127.0200017,37.48164634
5845,1165010816,99,1652.188907,127.021457,37.47717744
5846,1165010816,10,1772.335269,127.0456139,37.48609945
5847,1165010719,119,141.7752781,127.0013414,37.50170295
5848,1165010719,45,181.868845,127.0031549,37.50169338
5849,1165010719,106,1140.103891,126.9943052,37.50876422
5850,1165010107,45,409.8481063,126.9982781,37.48167194
5851,1165010107,99,593.1370801,127.0033838,37.47404491
5852,1165010107,68,657.16511,127.0028387,37.47258871
5853,1165010821,68,764.8804033,127.0200017,37.48164634
5854,1165010821,99,972.1418087,127.021457,37.47717744
5855,1165010821,128,1432.876673,127.0339949,37.47315761
5856,1165010720,119,93.81949606,127.0002053,37.50121928
5857,1165010720,45,292.4675995,127.0030083,37.50192295
5858,1165010720,106,1058.739822,126.9943052,37.50876422
5859,1165010631,106,370.6713355,127.0070937,37.51773721
5860,1165010631,131,1141.487883,127.0006649,37.52199009
5861,1165010631,45,1255.940674,127.0063244,37.50300578
5862,1165010818,68,1342.520406,127.0200017,37.48164634
5863,1165010818,99,1580.501439,127.0238553,37.4760604
5864,1165010818,10,1645.080782,127.0456139,37.48609945
5865,1165010305,128,733.173302,127.0220994,37.45676376
5866,1165010305,68,1121.655834,127.0145327,37.47340466
5867,1165010305,99,1288.043572,127.0249786,37.47533638
5868,1165010202,99,369.2610477,127.0271512,37.4746285
5869,1165010202,128,679.337944,127.0331722,37.4725887
5870,1165010202,68,979.235693,127.0199666,37.48146856
5871,1165010637,106,385.6554007,127.0045705,37.51506941
5872,1165010637,45,1052.260853,127.0063244,37.50300578
5873,1165010637,131,1144.738676,127.0006167,37.52192871
5874,1165010122,119,248.9465161,126.987382,37.49861097
5875,1165010122,21,477.2064734,126.9825548,37.49561563
5876,1165010122,86,483.6575467,126.9824778,37.49574496
5877,1165010835,45,629.5010568,127.0028473,37.48471103
5878,1165010835,68,925.54128,127.0162506,37.48472578
