route_id,route_name,route_type
104000006,242,간선
100100042,260,간선
100100043,261,간선
100100044,262,간선
100100046,270,간선
100100047,271,간선
100100048,272,간선
100100049,273,간선
100100051,301,간선
100100052,302,간선
100100053,303,간선
100100564,320,간선
100100496,333,간선
100100055,340,간선
100100056,341,간선
124000038,342,간선
107000002,343,간선
100100553,350,간선
100100057,360,간선
124000036,362,간선
100100061,370,간선
100100596,400,간선
100100062,401,간선
100100063,402,간선
100100597,405,간선
100100064,406,간선
100100068,420,간선
100100409,421,간선
100100459,440,간선
100100070,441,간선
113000002,452,간선
100100071,461,간선
100100605,463,간선
100100073,470,간선
100100075,472,간선
100100076,500,간선
100100077,501,간선
100100410,502,간선
100100078,503,간선
100100079,504,간선
100100080,505,간선
100100081,506,간선
100100082,507,간선
100100083,540,간선
100100574,541,간선
100100603,542,간선
100100084,571,간선
100100085,600,간선
100100086,601,간선
100100087,602,간선
100100088,603,간선
100100089,604,간선
100100090,605,간선
100100091,606,간선
100100093,640,간선
100100094,641,간선
100100096,643,간선
100100097,650,간선
100100098,651,간선
100100099,652,간선
100100497,653,간선
115000007,654,간선
116000004,660,간선
100100102,661,간선
100100550,662,간선
100100495,672,간선
100100551,673,간선
111000008,674,간선
100100440,700,간선
100100103,701,간선
100100104,702A서오릉,간선
100100105,702B용두초교,간선
100100107,704,간선
100100587,705,간선
100100511,707,간선
123000011,708,간선
100100110,710,간선
100100111,720,간선
100100112,721,간선
100100537,740,간선
123000010,741,간선
100100116,742,간선
100100114,750A,간선
100100565,750B,간선
100100117,752,간선
100100118,753,간선
111000014,761,간선
100100437,771,간선
111000011,773,간선
111000012,774,간선
100100593,N13,간선
100100610,N15,간선
100100592,N16,간선
100100586,N26,간선
100100591,N30,간선
100100585,N37,간선
100100589,N61,간선
100100588,N62,간선
115000008,N65,간선
100100124,17,지선
100100129,1014,지선
100100130,1017,지선
100100131,1020,지선
100100132,1111,지선
100100133,1113,지선
100100134,1114,지선
100100566,1115,지선
107000001,1116,지선
100100137,1119,지선
100100138,1120,지선
100100425,1122,지선
100100139,1124,지선
100100142,1126,지선
100100143,1127,지선
100100144,1128,지선
100100145,1129,지선
100100146,1130,지선
100100147,1131,지선
100100148,1132,지선
100100149,1133,지선
100100150,1135,지선
100100151,1136,지선
100100152,1137,지선
100100153,1138,지선
100100154,1139,지선
100100155,1140,지선
100100156,1141,지선
100100157,1142,지선
100100158,1143,지선
100100159,1144,지선
100100164,1154,지선
100100165,1155,지선
100100166,1156,지선
100100170,1162,지선
100100171,1164,지선
100100172,1165,지선
108000002,1167,지선
100100175,1213,지선
100100177,1218,지선
100100178,1221,지선
100100179,1222,지선
100100181,1224,지선
100100183,1226,지선
100100184,1227,지선
100100185,1711,지선
100100186,2012,지선
100100188,2013,지선
100100189,2014,지선
100100190,2015,지선
100100522,2016,지선
100100191,2112,지선
100100192,2113,지선
100100193,2114,지선
100100598,2115,지선
100100194,2211,지선
100100198,2221,지선
100100199,2222,지선
100100201,2224,지선
100100202,2227,지선
100100203,2230,지선
100100204,2233,지선
100100205,2234,지선
100100206,2235,지선
100100599,2311,지선
100100611,2312,지선
100100209,2412,지선
100100210,2413,지선
100100211,2415,지선
104000010,2416,지선
100100438,3011,지선
100100579,3012,지선
100100212,3212,지선
100100213,3214,지선
100100215,3216,지선
100100216,3217,지선
100100218,3220,지선
100100219,3313,지선
100100220,3314,지선
100100221,3315,지선
100100222,3316,지선
100100478,3317,지선
100100498,3318,지선
100100501,3319,지선
100100578,3321,지선
100100613,3322,지선
124000039,3323,지선
100100223,3411,지선
100100224,3412,지선
100100225,3413,지선
100100226,3414,지선
100100228,3416,지선
100100229,3417,지선
100100232,3422,지선
100100609,3425,지선
100100612,3426,지선
100100604,4211,지선
100100234,4212,지선
100100500,4312,지선
100100237,4318,지선
100100427,4319,지선
100100454,4419,지선
100100246,4432,지선
100100247,4433,지선
122000001,4435,지선
100100248,5012,지선
100100249,5413,지선
100100250,5511,지선
100100251,5513,지선
100100252,5515,지선
100100253,5516,지선
100100254,5517,지선
100100255,5519,지선
100100257,5522A난곡,지선
100100258,5522B호암,지선
100100259,5523,지선
100100260,5524,지선
100100261,5525,지선
100100263,5528,지선
100100264,5530,지선
100100265,5531,지선
100100267,5535,지선
100100268,5536,지선
100100269,5537,지선
100100272,5615,지선
100100273,5616,지선
100100274,5617,지선
100100275,5618,지선
100100276,5619,지선
100100277,5620,지선
100100278,5621,지선
100100279,5623,지선
100100280,5624,지선
100100281,5625,지선
100100282,5626,지선
100100283,5627,지선
100100284,5630,지선
100100285,5633,지선
100100266,5634,지선
100100286,5712,지선
100100287,5713,지선
100100288,5714,지선
100100289,6211,지선
100100290,6411,지선
100100291,6511,지선
100100292,6512,지선
100100293,6513,지선
100100294,6514,지선
100100521,6515,지선
100100576,6516,지선
100100295,6611,지선
100100453,6613,지선
100100297,6614,지선
116000002,6615,지선
100100298,6616,지선
100100299,6617,지선
100100300,6620,지선
100100301,6623,지선
100100302,6624,지선
100100303,6625,지선
100100304,6627,지선
100100305,6628,지선
100100306,6629,지선
100100307,6630,지선
100100308,6631,지선
100100309,6632,지선
100100311,6635,지선
100100312,6637,지선
100100313,6638,지선
100100601,6640A,지선
100100602,6640B,지선
100100316,6642,지선
100100318,6645,지선
100100320,6647,지선
115000005,6648,지선
114000001,6649,지선
100100322,6654,지선
100100329,6657,지선
100100330,6712,지선
100100331,6714,지선
100100332,6715,지선
100100451,6716,지선
100100450,7011,지선
100100449,7013A,지선
100100448,7013B,지선
100100447,7016,지선
100100337,7017,지선
100100338,7018,지선
100100339,7019,지선
100100340,7021,지선
100100341,7022,지선
100100342,7024,지선
100100446,7025,지선
100100344,7211,지선
100100499,7212,지선
100100345,7611,지선
100100346,7612,지선
100100347,7613,지선
100100348,7711,지선
100100349,7713,지선
100100462,7715,지선
124000008,7719,지선
100100352,7720,지선
100100353,7722,지선
100100354,7723,지선
100100357,7726,지선
100100358,7727,지선
100100359,7728,지선
100100360,7730,지선
111000010,7734,지선
100100363,7737,지선
100100364,7738,지선
100100552,7739,지선
107000003,8002,지선
107000004,8003,지선
110000003,8112,지선
106000001,8221,지선
124000010,8331,지선
103000001,8441,지선
100100383,8541,지선
108000001,8551,지선
116000001,8552,지선
113000001,8761,지선
111000009,8771,지선
100100525,8772,지선
100100387,8774,지선
112000001,8777,지선
104000007,01A,순환
104000008,01B,순환
100100001,2,순환
106000002,4,순환
100100389,9401,광역
100100390,9403,광역
100100391,9404,광역
100100392,9408,광역
107000005,9409,광역
100100397,9701,광역
100100398,9703,광역
100100400,9707,광역
100100607,9711,광역
100100406,9714,광역
SJB293000024,430,간선
SJB293000029,550,간선
SJB293000030,551,지선
SJB293000033,601,간선
SJB293000039,655,광역
SJB293000057,801,간선
SJB293000077,B2,광역
SJB293000078,991,간선
SJB293000099,B2,광역
SJB293000100,991,간선
SJB293000102,550,간선
SJB293000103,601,간선
SJB293000106,655,광역
SJB293000107,801,간선
SJB293000117,430,간선
