station_id,apt_id,dist
121000017,1165010710,163.676492254878
121000018,1165010710,230.126404430583
121000119,1165010710,314.113149806664
121000135,1165010710,392.203736975375
121000979,1165010710,392.02805796572
121000976,1165010710,382.268901816949
ICB121000017,1165010710,177.889424166645
ICB121000018,1165010710,134.551108337937
121000021,1165010711,366.399355803556
121001319,1165010711,312.019448137182
ICB121000021,1165010711,351.352433237138
121000021,1165010709,349.007069549658
121001326,1165010709,388.896943585295
121000136,1165010709,208.254050789845
121000144,1165010709,396.521627490737
121900053,1165010709,385.394085634833
121900062,1165010709,188.597714321184
121900252,1165010709,355.530414598739
121900095,1165010709,267.568019293867
121900195,1165010709,181.248546747213
121900189,1165010709,261.834649975988
121001322,1165010709,211.898596267147
121900248,1165010709,208.254050789845
ICB121000021,1165010709,378.084967149563
121000302,1165010643,248.538080210837
121000303,1165010643,300.775791772145
121000938,1165010643,283.728944611512
121900209,1165010643,193.186299132768
121001321,1165010643,297.156539285514
ICB121000083,1165010643,260.461900574475
121000045,1165010860,285.126657729418
121000046,1165010860,277.256213481298
121000047,1165010860,171.864320781545
121000049,1165010860,299.192718279063
121000050,1165010860,340.527579558667
121000051,1165010860,129.508377165632
121000052,1165010860,154.432721910154
121900224,1165010860,328.43826793746
121900047,1165010860,386.326191966148
121900052,1165010860,146.343688269089
121900080,1165010860,281.673491246342
121900187,1165010860,150.905915540936
121900128,1165010860,129.436858805644
121900130,1165010860,381.281866638434
121900132,1165010860,285.292954020487
121900162,1165010860,379.52180569436
121900177,1165010860,238.678058943594
121000019,1165010638,278.147947709174
121000131,1165010638,152.75997602232
121000132,1165010638,167.271018170635
121000135,1165010638,386.479548429601
121000143,1165010638,243.163986916725
121900251,1165010638,241.905593814092
121000979,1165010638,394.03987562707
121900100,1165010638,166.108814684741
121900241,1165010638,312.058667854403
121900213,1165010638,385.047129501341
121900209,1165010638,289.107888998323
121900153,1165010638,226.990751475479
ICB121000019,1165010638,285.716961001669
121000119,1165010714,119.056307584761
121000120,1165010714,175.095634396867
121000123,1165010714,204.549313827144
