join_key,area_use,deal_type,contract_ym,price
1165000180001,115.65,deal,202102,414000
1165000180001,117.12,deal,202111,435000
1165000180001,135.92,deal,202206,559000
1165000180001,136.65,deal,202008,360000
1165000180001,168.65,deal,202201,600000
1165000180001,169.31,deal,202108,527000
1165000180001,198.04,deal,202204,715000
1165000180001,198.22,deal,202108,552000
1165000180001,222.15,deal,202008,428000
1165000180001,222.76,deal,202203,780000
1165000190000,115.06,deal,201911,90000
1165000190000,136.87,deal,202006,84500
1165000190001,110.24,deal,202006,74000
1165000190001,129.4,deal,202103,130000
1165000200018,74.16,deal,201911,60000
1165000200043,59.97,deal,202107,253500
1165000200043,59.98,deal,202205,282000
1165000200043,84.94,deal,202205,390000
1165000200043,84.98,deal,202205,367000
1165000200043,84.99,deal,202204,360000
1165000200043,132.17,deal,202111,466000
1165000200043,132.43,deal,202201,455000
1165000200043,165.05,deal,202204,570000
1165000200043,165.44,deal,202112,520000
1165000200043,194.51,deal,202112,540000
1165000200043,194.69,deal,202104,484000
1165000200043,216.49,deal,202203,690000
1165000200043,244.54,deal,202203,750000
1165000200043,244.62,deal,202108,650000
1165000200043,244.97,deal,202111,728000
1165000300001,98.64,deal,202006,195500
1165000300001,142.11,deal,202007,255000
1165000300001,153.54,deal,202009,285000
1165000300026,59.99,deal,202205,245000
1165000300026,84.96,deal,202204,333000
1165000300026,84.97,deal,201910,223000
1165000300026,106.14,deal,202112,367000
1165000300026,138.25,deal,202205,380000
1165000310014,84.98,deal,202007,138000
1165000310014,121.83,deal,202006,145000
1165000310014,125.48,deal,201910,123000
1165000320008,84.98,deal,202105,295000
1165000320022,115.24,deal,202009,155000
1165000330007,84.96,deal,202007,94000
1165000330007,84.99,deal,202003,77500
1165000330011,84.78,deal,202110,179000
1165000330011,116.42,deal,202102,179000
1165000340001,84.96,deal,202009,90000
1165000340001,84.99,deal,201912,86000
1165000340001,95.58,deal,201911,96000
1165000340001,115.88,deal,202006,113000
1165000420013,27.07,deal,202103,47400
1165000420013,34.72,deal,202105,63500
1165000420013,35.38,deal,202107,65500
1165000420013,49.06,deal,202106,105000
1165000460000,59.82,deal,202107,130000
1165000460000,83.4,deal,202103,144000
1165000460000,129.93,deal,202006,155000
1165000470004,81.88,deal,201911,59000
1165000480002,96.43,deal,202006,130000
1165000480002,97.35,deal,201907,114800
1165000480002,97.99,deal,202012,160000
1165000480002,120.73,deal,202103,190000
1165000480002,123.97,deal,201907,136500
1165000480007,204.3,deal,202107,112700
1165000490005,244.76,deal,202201,330000
1165000490006,131.84,deal,202007,110000
1165000490008,76.68,deal,202006,165000
1165000490008,84.53,deal,202110,250000
1165000490017,50.63,deal,201912,179000
1165000490017,50.64,deal,202111,164281
1165000490017,51.63,deal,202105,124750
1165000490017,113.96,deal,202105,180450
1165000490037,244.91,deal,202101,258000
1165000500000,106.15,deal,202204,298500
1165000500000,133.41,deal,202203,325000
1165000500000,151.11,deal,202106,293000
1165000500001,109.56,deal,202112,300000
1165000500001,110.11,deal,202104,232500
1165000500001,132.16,deal,202104,269000
1165000500001,132.78,deal,202108,270000
1165000500001,148.86,deal,202105,300000
1165000500002,128.88,deal,201910,104000
1165000500002,151.38,deal,202002,118000
1165000500005,55.45,deal,202105,143000
1165000500005,56.2,deal,202002,124000
1165000500005,75.79,deal,202104,179000
1165000500005,76.4,deal,202006,165000
1165000500005,105.36,deal,202108,201000
1165000500005,106.19,deal,201912,196000
1165000500006,131.86,deal,202204,170000
1165000500008,137.47,deal,201910,120000
1165000500008,218.09,deal,202006,163000
1165000510000,84.38,deal,201907,165000
1165000510000,84.69,deal,202206,240000
1165000510000,84.83,deal,202006,165000
1165000510000,84.9,deal,202106,220000
1165000520002,108.05,deal,201908,197000
1165000520002,141.53,deal,201908,250000
1165000530000,84.87,deal,202206,222000
1165000530002,80.92,deal,201912,100000
1165000530002,115.92,deal,202001,103000
1165000530015,66.29,deal,202104,168500
1165000530015,84.53,deal,202112,240000
1165000540000,59.57,deal,202203,178000
1165000540000,59.76,deal,202006,140000
1165000540000,84.64,deal,202007,168000
1165000540005,47.7,deal,202109,128000
1165000540005,47.84,deal,202011,89000
1165000540005,58.7,deal,202103,128000
1165000540007,57.33,deal,202101,147000
1165000540007,81.37,deal,202107,210000
1165000540007,84.33,deal,202108,220000
1165000540007,84.85,deal,202006,148000
1165000550007,242.16,deal,202203,415000
1165000550012,52.26,deal,202106,165000
1165000550012,52.32,deal,202204,188600
1165000550012,52.58,deal,202105,165000
1165000550012,82.98,deal,202206,265000
1165000550012,82.99,deal,202104,199000
1165000550012,83.11,deal,202203,258000
1165000550012,83.12,deal,202204,255000
1165000560002,53.46,deal,202109,156000
1165000560003,84.52,deal,202204,280000
1165000570000,130.89,deal,202204,195000
1165000580000,84.97,deal,202109,250000
1165000580000,140.36,deal,202206,305000
1165000580016,53.88,deal,202109,200000
1165000580016,54.03,deal,202102,178000
1165000580016,54.11,deal,202102,151000
1165000580016,54.43,deal,202109,150000
1165000580016,54.69,deal,202107,194000
1165000580016,76.32,deal,202106,242000
1165000580016,77.1,deal,202101,241000
1165000580022,80.4,deal,202109,235000
1165000580022,108.09,deal,202104,290000
1165000580022,110.91,deal,202101,296000
1165000580022,143.77,deal,202110,460000
1165000580024,76.4,deal,202110,281000
1165000580024,110.42,deal,202108,320000
1165000580024,141.53,deal,202007,325000
1165000590000,77.14,deal,202106,135000
1165000590000,84.96,deal,202203,145500
1165000590003,56.56,deal,202109,174500
1165000590003,59.56,deal,202104,155000
1165000590003,84.52,deal,202012,182500
1165000590010,117.07,deal,202006,173300
1165000590010,129.47,deal,202102,240000
1165000590012,152.01,deal,202106,206470
1165000590012,152.78,deal,202107,206000
1165000600003,52.74,deal,202110,213000
1165000600003,53.06,deal,202107,197500
1165000600003,54.8,deal,202103,190000
1165000600003,55.17,deal,202103,193000
1165000600003,141.53,deal,202105,355000
1165000600003,141.83,deal,202006,318000
1165000600003,143.03,deal,202101,330000
1165000600004,63.94,deal,202101,175000
1165000600004,78.39,deal,202103,182500
1165000600004,84.96,deal,202204,270000
1165000600005,59.07,deal,202003,148500
1165000600005,71.49,deal,202205,220000
1165000600006,75.95,deal,202101,256500
1165000600007,84.75,deal,202108,260000
1165000600007,84.87,deal,202006,191000
1165000600078,143.95,deal,202110,347000
1165000610001,84.49,deal,202012,210000
1165000610001,117.06,deal,202107,275000
1165000610002,80.25,deal,202204,260000
1165000610002,81,deal,201910,172000
1165000610002,107.01,deal,202111,280000
1165000610002,107.93,deal,202103,237000
1165000620004,115.83,deal,202107,239500
1165000620006,244.89,deal,201911,210000
1165000630002,59.55,deal,202006,156000
1165000630002,59.91,deal,202111,195000
1165000630002,84.84,deal,202104,225000
1165000630002,84.86,deal,202110,254500
1165000630034,81.05,deal,202006,164500
1165000630034,81.23,deal,202203,227500
1165000630034,84.56,deal,201911,163000
1165000640005,70.38,deal,202205,182500
1165000640005,81.9,deal,202101,175000
1165000640005,82.35,deal,201907,128000
1165000650001,117.11,deal,202205,243000
1165000650001,146.63,deal,202105,250000
1165000650001,146.81,deal,202105,257000
1165000650001,205.22,deal,202010,275000
1165000650008,84.89,deal,202107,233000
1165000650032,107.29,deal,202007,219800
1165000650032,107.55,deal,202006,195000
1165000650032,140.04,deal,202105,310000
1165000650033,104.02,deal,202006,200000
1165000650033,117.15,deal,202108,288000
1165000660003,199.86,deal,202111,195000
1165000660003,203.83,deal,202104,194000
1165000670000,59.98,deal,202107,130000
1165000670001,84.94,deal,202203,187000
1165000670001,84.99,deal,202206,195000
1165000670002,84.94,deal,202205,225000
1165000700000,52.47,deal,202204,138000
1165000700000,59.97,deal,202204,149000
1165000700000,84.89,deal,202103,157000
1165000700000,96.48,deal,202110,315000
1165000700000,96.78,deal,202101,238000
1165000700000,100.11,deal,202202,306500
1165000700000,100.98,deal,202108,179500
1165000700000,105.44,deal,202101,267500
1165000700000,105.89,deal,202201,319000
1165000700000,106.31,deal,202107,277000
1165000700000,107.39,deal,202202,328000
1165000700000,108.42,deal,202203,327000
1165000700000,137.1,deal,202108,369000
1165000700000,155,deal,201909,308250
1165000700001,45.72,deal,202112,133000
1165000700001,64.53,deal,202108,165000
1165000700001,115,deal,202109,233000
1165000700001,137.47,deal,202110,240000
1165000700001,147.67,deal,201912,222500
1165000710000,198.04,deal,202009,245000
1165000710000,231.75,deal,202204,293500
1165000710001,59.85,deal,202006,147000
1165000710001,84.54,deal,202105,170000
1165000710001,206.57,deal,201907,170000
1165000710003,134.63,deal,202109,169000
1165000710008,21.17,deal,202205,53500
1165000710011,59.81,deal,202106,176750
1165000710011,84.93,deal,202204,241000
1165000710012,23.7,deal,202206,80900
1165000710012,30.18,deal,202204,116500
1165000710012,30.9,deal,202205,115000
1165000710012,34.23,deal,202104,100000
1165000710012,37.38,deal,202104,99000
1165000710017,59.93,deal,202104,145000
1165000710017,75.44,deal,202205,212500
1165000730000,68.91,deal,202106,230000
1165000730000,79.42,deal,202107,265000
1165000730000,92.2,deal,202107,310500
1165000730000,93.71,deal,202102,267000
1165000730000,107.31,deal,202204,398000
1165000730000,135.97,deal,202107,398000
1165000730000,137.66,deal,202109,410000
1165000730000,150.58,deal,202104,392000
1165000730002,159.18,deal,201907,158000
1165000730002,159.45,deal,202106,222000
1165000730010,180.39,deal,202006,175000
1165000760002,46.95,deal,202105,110000
1165000760002,69.95,deal,201907,118000
1165000760002,108.12,deal,202106,126900
1165000760002,111.78,deal,202204,136000
1165000770001,242.92,deal,202105,275000
1165000780001,244.6,deal,202111,260000
1165000790001,113.31,deal,202008,145000
1165000790001,143.14,deal,202007,138000
1165000790005,128.93,deal,202102,163750
1165000790005,152.19,deal,202004,129000
1165000790005,166.84,deal,202005,150000
1165000790005,170.21,deal,201907,163500
1165000810008,80.17,deal,201912,86500
1165000810008,93.75,deal,202006,87800
1165000820007,180.93,deal,202203,170000
1165000820019,184.33,deal,201910,145000
1165000840002,243.37,deal,202009,285000
1165000860002,244.74,deal,202008,450000
1165000860005,81.27,deal,201908,82000
1165000860005,104.08,deal,201907,89500
1165000860010,244.15,deal,202102,277000
1165000870005,111.91,deal,202009,123500
1165000870007,146.1,deal,201910,120000
1165000870007,149.49,deal,202102,138000
1165000870007,156.29,deal,202105,158500
1165000880004,189.86,deal,202204,125010
1165000880004,241.17,deal,202007,171909
1165000900000,32.08,deal,202109,46850
1165000900000,35.91,deal,202005,47000
1165000900000,39.1,deal,202205,50350
1165000900000,58.21,deal,201912,86000
1165000910000,163.61,deal,202204,137000
1165000950001,77.43,deal,202007,88500
1165000950001,137.38,deal,201911,112500
1165000980004,131.72,deal,202011,125000
1165000990001,192.38,deal,201908,190000
1165000990001,201.81,deal,202011,200000
1165000990001,204.11,deal,202006,208000
1165000990002,152.86,deal,202006,140000
1165000990002,164.41,deal,202001,100000
1165000990003,163.6,deal,202206,225000
