no,subway_station_no,apt_id,dist
2657,195,1165010856,170.82937288668
2658,192,1165010649,568.075827139689
2659,193,1165010649,542.992211157796
2660,433,1165010705,631.098083248694
2661,434,1165010705,214.377720306628
2662,193,1165010629,89.689296239226
2663,369,1165010629,422.596289170699
2664,193,1165010624,457.718625179368
2665,368,1165010624,660.29650222928
2666,369,1165010624,260.207678003559
2667,436,1165010624,585.514053736382
2668,433,1165010114,415.48941365596
2669,231,1165010115,654.226850584781
2670,372,1165010115,654.226850584781
2671,194,1165010650,500.437959730248
2672,370,1165010650,500.437959730248
2673,435,1165010650,500.437959730248
2674,139,1165010859,613.387244684963
2675,140,1165010859,687.729915216188
2676,195,1165010859,613.387244684963
2677,196,1165010859,380.90101251224
2678,433,1165010723,552.401611257374
2679,434,1165010723,613.608347793954
