no,subway_station_no,apt_id,dist
2380,193,1165010710,617.458574946065
2381,369,1165010710,180.284479739042
2382,436,1165010710,398.174181751146
2383,434,1165010711,376.195465589143
2384,194,1165010709,502.203609239838
2385,370,1165010709,502.203609239838
2386,434,1165010709,338.192003344321
2387,435,1165010709,502.203609239838
2388,194,1165010643,619.386862307636
2389,370,1165010643,619.386862307636
2390,435,1165010643,619.386862307636
2391,193,1165010638,626.975614045478
2392,194,1165010638,448.600367807829
2393,369,1165010638,483.697085244822
2394,370,1165010638,448.600367807829
2395,435,1165010638,448.600367807829
2396,369,1165010714,514.916708878037
2397,436,1165010714,164.08372415467
2398,139,1165010851,663.650281643413
2399,195,1165010851,663.650281643413
2400,436,1165010851,563.10441637439
2401,433,1165010703,115.116340402598
2402,194,1165010717,444.050402797558
2403,370,1165010717,444.050402797558
2404,435,1165010717,444.050402797558
2405,436,1165010717,608.775009976858
2406,194,1165010726,635.83638157923
2407,370,1165010726,635.83638157923
2408,434,1165010726,425.909174490063
2409,435,1165010726,635.83638157923
2410,436,1165010706,305.806761762989
2411,194,1165010648,380.610839214539
2412,370,1165010648,380.610839214539
2413,434,1165010648,651.643382725022
2414,435,1165010648,380.610839214539
2415,193,1165010646,406.245410848368
2416,194,1165010646,690.64421994337
2417,369,1165010646,149.256560006854
2418,370,1165010646,690.64421994337
2419,435,1165010646,690.64421994337
2420,436,1165010646,688.356454443621
2421,436,1165010802,609.181992690662
2422,437,1165010802,499.478731278655
2423,141,1165010140,540.385527164395
2424,436,1165010713,378.191508733577
2425,193,1165010603,404.067377266835
2426,138,1165010803,655.268821349482
2427,437,1165010803,537.11522968742
2428,662,1165010803,655.268821349482
2429,139,1165010852,594.219785793817
2430,195,1165010852,594.219785793817
2431,436,1165010852,643.617681820648
2432,193,1165010604,380.311890389004
2433,194,1165010604,669.37651371927
2434,369,1165010604,366.822243649766
2435,370,1165010604,669.37651371927
2436,435,1165010604,669.37651371927
2437,436,1165010725,405.683253265763
2438,139,1165010854,500.69390378591
2439,195,1165010854,500.69390378591
2440,138,1165010855,485.120313318412
2441,662,1165010855,485.120313318412
2442,138,1165010811,672.040932010947
2443,662,1165010811,672.040932010947
2444,193,1165010619,367.072744896474
2445,193,1165010602,293.048197660952
2446,231,1165010116,358.202378586643
2447,372,1165010116,358.202378586643
2448,231,1165010109,348.883401968938
2449,372,1165010109,348.883401968938
2450,138,1165010804,442.721062279427
2451,662,1165010804,442.721062279427
2452,196,1165010829,243.442746458317
2453,653,1165011104,288.872668849858
2454,653,1165011102,496.484626095086
2455,193,1165010621,221.983085990176
2456,368,1165010621,696.556375307417
2457,369,1165010621,508.057722819712
2458,193,1165010626,175.517037237744
2459,369,1165010626,352.656433144246
2460,194,1165010651,334.084682692223
2461,370,1165010651,334.084682692223
2462,435,1165010651,334.084682692223
2463,436,1165010801,503.165326542467
2464,437,1165010801,494.260748306129
2465,139,1165010853,487.70139668865
2466,195,1165010853,487.70139668865
2467,138,1165010810,540.470221451802
2468,662,1165010810,540.470221451802
2469,434,1165010707,224.687523110668
2470,192,1165010615,676.531269539867
2471,193,1165010615,585.560526031597
2472,138,1165010808,310.84081651551
2473,662,1165010808,310.84081651551
2474,192,1165010611,466.124851486767
2475,193,1165010611,487.498648698884
