no,name,apt_id,lon,lat,dist,url
7662,아가야어린이집,1165010115,126.9870733,37.48807621,555.9885119,
7663,남현어린이집,1165010111,126.9774581,37.4751266,636.3797479,
7664,칼비테영재어린이집,1165010111,126.9840361,37.47739089,518.2271794,
7665,도레미어린이집,1165010111,126.9886757,37.47701446,631.3398191,
7666,남성교회어린이집,1165010111,126.9776224,37.47427104,588.8394783,
7667,까리따스어린이집,1165010111,126.9842367,37.47453445,202.4730522,
7668,해돋이어린이집,1165010126,126.9875729,37.49111596,343.4957123,
7669,아람마주이야기어린이집,1165010126,126.9865005,37.4907778,241.6205974,
7670,아가야어린이집,1165010126,126.9870733,37.48807621,356.5589353,
7671,구립이수어린이집,1165010126,126.980332,37.49291409,446.7174437,
7672,오렌지어린이집,1165010125,126.9775233,37.48525818,668.4306033,
7673,새롬키즈어린이집,1165010125,126.9876051,37.48308499,681.6718206,
7674,방배하나어린이집,1165010125,126.9898919,37.48445594,691.8234238,
7675,해돋이어린이집,1165010125,126.9875729,37.49111596,436.2058377,
7676,아람마주이야기어린이집,1165010125,126.9865005,37.4907778,342.5944295,
7677,아가야어린이집,1165010125,126.9870733,37.48807621,282.941122,
7678,구립이수어린이집,1165010125,126.980332,37.49291409,585.0927537,
7679,해돋이어린이집,1165010127,126.9875729,37.49111596,342.6459474,
7680,아람마주이야기어린이집,1165010127,126.9865005,37.4907778,257.6690894,
7681,아가야어린이집,1165010127,126.9870733,37.48807621,480.4304081,
7682,구립이수어린이집,1165010127,126.980332,37.49291409,339.1694197,
7684,남현어린이집,1165010122,126.9774581,37.4751266,488.001282,
7685,칼비테영재어린이집,1165010122,126.9840361,37.47739089,365.409564,
7686,칼비테어린이집,1165010122,126.9794571,37.47880396,589.7576234,
7687,도레미어린이집,1165010122,126.9886757,37.47701446,599.5648553,
7688,남성교회어린이집,1165010122,126.9776224,37.47427104,463.3187659,
7689,까리따스어린이집,1165010122,126.9842367,37.47453445,126.0714215,
